MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1193046,2016-04-18T19:08:12,41.48188,-71.36046,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-04-18T19:10:16,30.08254,-88.93714,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2017-01-05T23:45:20,29.11233,-90.19359,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50.0,
1193046,2017-01-05T23:56:54,40.64227,-74.14957,4.965348552695273,272.70001220703125,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50.0,
1193046,2017-01-06T00:39:24,40.61198,-74.20375,6.164940873990791,188.1000061035156,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50.0,
1193046,2017-01-06T00:46:48,29.11233,-90.19359,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50.0,
1193046,2018-11-17T00:29:19,29.8257,-89.99652,8.115738421542215,28.399999618530277,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36.0,A
1193046,2018-11-17T00:37:58,36.09535,-75.48824,9.41932681439194,158.0,146,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52.0,A
1193046,2018-11-17T01:05:45,36.03135,-75.45118,9.212407840736786,173.0,156,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52.0,A
1193046,2018-11-17T01:12:39,29.86755,-89.92459,9.255214287311915,97.6999969482422,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52.0,A
