MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,TranscieverClass
309653000,2015-01-24T08:59:28,25.76439,-80.08959,14.491330801940128,250.3000030517578,246,NORWEGIAN PEARL,IMO9342281,C6VG7,1012,0,294.1499938964844,37.5,8.600000381469727,,,
309653000,2015-01-24T09:34:22,25.77455,-80.16307,0.2634043307662636,199.0,289,NORWEGIAN PEARL,IMO9342281,C6VG7,1012,0,294.1499938964844,37.5,8.600000381469727,,,
309653000,2015-02-02T13:10:09,25.77383,-80.16241,0.0,115.0,115,NORWEGIAN PEARL,IMO9342281,C6VG7,1012,5,294.1499938964844,37.5,8.600000381469727,,,
309653000,2015-02-02T13:11:14,25.80043,-77.98611,0.0,190.6000061035156,107,NORWEGIAN PEARL,IMO9342281,C6VG7,1012,1,294.1499938964844,37.5,8.600000381469727,,,
309653000,2015-02-02T13:11:14,25.80043,-77.98611,0.0,190.6000061035156,107,NORWEGIAN PEARL,IMO9342281,C6VG7,1012,1,294.1499938964844,37.5,8.600000381469727,,,
309653000,2015-02-02T13:12:20,25.77383,-80.16241,0.0,160.0,115,NORWEGIAN PEARL,IMO9342281,C6VG7,1012,5,294.1499938964844,37.5,8.600000381469727,,,
353479000,2015-07-20T10:21:36,25.77721,-80.05164,8.720887022356493,249.0,237,CARNIVAL ECSTASY,IMO8711344,H3GR,1012,0,260.6000061035156,31.530000686645508,7.849999904632568,69.0,,
353479000,2015-07-20T11:00:56,25.77347,-80.15729,8.720887022356493,295.0,295,CARNIVAL ECSTASY,IMO8711344,H3GR,1012,0,260.6000061035156,31.530000686645508,7.849999904632568,69.0,,
355263000,2015-07-20T10:20:46,25.75808,-80.1086,6.448978938273307,252.1999969482422,252,CARNIVAL VICTORY,IMO9172648,3FFL8,1012,0,272.20001220703125,35.540000915527344,8.319999694824219,69.0,,
355263000,2015-07-20T11:00:02,25.78407,-80.18112,6.448978938273307,172.10000610351562,87,CARNIVAL VICTORY,IMO9172648,3FFL8,1012,0,272.20001220703125,35.540000915527344,8.319999694824219,69.0,,
