MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1193046,2016-11-08T07:31:42,29.92405,-90.19353,4.362213093168032,227.1000061035156,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,
1193046,2016-11-08T07:40:13,32.68743,-117.13204,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,
1193046,2018-11-17T19:44:45,32.70046,-117.16625,5.751970556711781,127.8000030517578,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2018-11-17T19:49:18,29.93712,-90.32575,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2018-11-18T03:40:28,29.93712,-90.32575,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2018-11-18T03:48:45,32.69916,-117.23187,0.5949107995958384,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
368047580,2024-10-31T12:24:06,30.23397,-93.24676,5.620196006354751,342.1000061035156,359,JONES,,WDK3678,30,0,206.0,17.0,2.299999952316284,57,A
368047580,2024-10-31T12:27:26,30.23885,-93.24716,7.567000569087008,352.29998779296875,6,JONES,,WDK3678,30,0,206.0,17.0,2.299999952316284,57,A
368047580,2024-11-02T00:06:26,30.23749,-93.24711,5.991751833727087,180.3999938964844,176,JONES,,WDK3678,30,12,206.0,17.0,2.299999952316284,57,A
368047580,2024-11-02T00:07:36,30.23555,-93.24707,5.991751833727087,177.89999389648438,169,JONES,,WDK3678,30,12,206.0,17.0,2.299999952316284,57,A
