MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
238265000,2015-02-08T04:01:42,39.89277,-75.19678,3.2411248490786555,320.1000061035156,300,VERIGE,IMO9401128,9AA6988,1024,0,195.1199951171875,32.2400016784668,12.5,89,
238265000,2015-02-08T04:02:45,39.89333,-75.19765,2.7872406971989743,299.8999938964844,286,VERIGE,IMO9401128,9AA6988,1024,0,195.1199951171875,32.2400016784668,12.5,89,
238265000,2015-02-09T16:41:34,39.89275,-75.19713,1.3164802755854947,127.4000015258789,296,VERIGE,IMO9401128,9AA6988,1024,0,195.1199951171875,32.2400016784668,12.5,89,
238265000,2015-02-09T16:42:44,39.89248,-75.1967,1.3164802755854947,144.6999969482422,300,VERIGE,IMO9401128,9AA6988,1024,0,195.1199951171875,32.2400016784668,12.5,89,
357934000,2015-02-11T12:06:41,39.89275,-75.19693,2.910473031084106,310.0,291,BITU EXPRESS,IMO9265689,HOZW,1024,0,179.8800048828125,32.22999954223633,12.020000457763672,81,
357934000,2015-02-11T12:07:45,39.8933,-75.19827,3.679388307968511,288.0,287,BITU EXPRESS,IMO9265689,HOZW,1024,0,179.8800048828125,32.22999954223633,12.020000457763672,81,
357934000,2015-02-13T13:45:24,39.89293,-75.19732,1.7507884831227842,125.0,298,BITU EXPRESS,IMO9265689,HOZW,1024,0,179.8800048828125,32.22999954223633,12.020000457763672,81,
357934000,2015-02-13T13:46:35,39.89248,-75.19662,1.6991123791392444,126.0,301,BITU EXPRESS,IMO9265689,HOZW,1024,0,179.8800048828125,32.22999954223633,12.020000457763672,81,
477486600,2015-07-05T02:25:47,39.89263,-75.19697,2.0278164169016475,306.0,296,HARUNA EXPRESS,IMO9317078,VRLW7,1024,0,179.8000030517578,32.22999954223633,12.119999885559082,80,
477486600,2015-07-05T02:26:55,39.89322,-75.19808,2.741554182914179,293.0,292,HARUNA EXPRESS,IMO9317078,VRLW7,1024,0,179.8000030517578,32.22999954223633,12.119999885559082,80,
477486600,2015-07-06T04:25:42,39.89298,-75.19783,1.797200651883979,124.0,301,HARUNA EXPRESS,IMO9317078,VRLW7,1024,0,179.8000030517578,32.22999954223633,12.119999885559082,80,
