MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367649340,2015-01-14T20:50:12,30.32614,-81.62448,6.898083240047618,11.899999618530272,33,OCEAN GLOBE,IMO9419008,KOGE,1004,5,166.14999389648438,22.899999618530277,9.800000190734863,,
367649340,2015-01-14T20:51:22,30.32833,-81.62397,6.898083240047618,10.800000190734863,34,OCEAN GLOBE,IMO9419008,KOGE,1004,5,166.14999389648438,22.899999618530277,9.800000190734863,,
538005447,2015-03-25T19:19:45,30.32681,-81.62437,6.880242926969481,11.399999618530272,12,OCEAN,IMO9127021,V7DY7,70,0,157.0,24.0,6.900000095367432,70.0,
538005447,2015-03-25T19:20:54,30.32894,-81.62375,6.880242926969481,11.699999809265137,10,OCEAN,IMO9127021,V7DY7,70,0,157.0,24.0,6.900000095367432,70.0,
368373000,2015-06-08T16:52:12,30.32667,-81.62417,6.007860531103454,9.0,14,WILSON,IMO6909911,WNPD,1004,2,178.0,25.0,0.0,69.0,
368373000,2015-06-08T16:53:22,30.32833,-81.624,4.776289427644465,8.0,11,WILSON,IMO6909911,WNPD,1004,2,178.0,25.0,0.0,69.0,
563269000,2015-07-24T22:21:37,30.32582,-81.6246,7.761843035596994,11.199999809265137,10,MAERSK AEGEAN,IMO9636644,9V3498,1024,5,184.0,27.43000030517578,11.520000457763672,,
563269000,2015-07-24T22:22:46,30.32825,-81.62404,7.761843035596994,10.5,11,MAERSK AEGEAN,IMO9636644,9V3498,1024,5,184.0,27.43000030517578,11.520000457763672,,
368063000,2015-11-07T08:44:26,30.3275,-81.62433,3.1663437720079237,190.5,186,SS EL YUNQUE,IMO7506015,WGJT,1004,5,241.02999877929688,28.049999237060547,9.020000457763672,70.0,
368063000,2015-11-07T08:45:35,30.3265,-81.6245,3.1663437720079237,191.1999969482422,186,SS EL YUNQUE,IMO7506015,WGJT,1004,5,241.02999877929688,28.049999237060547,9.020000457763672,70.0,
368063000,2015-11-09T23:21:41,30.32567,-81.6245,2.975419255931258,1.0,7,SS EL YUNQUE,IMO7506015,WGJT,1004,5,241.02999877929688,28.049999237060547,9.020000457763672,70.0,
368063000,2015-11-09T23:22:51,30.32717,-81.62433,4.583870146457462,4.5,8,SS EL YUNQUE,IMO7506015,WGJT,1004,5,241.02999877929688,28.049999237060547,9.020000457763672,70.0,
565324000,2016-07-16T20:37:20,30.32822,-81.6245,4.123607029618678,191.5,187,ERISORT,IMO9681895,9V2067,1004,0,179.99000549316406,30.030000686645508,10.699999809265137,,
565324000,2016-07-16T20:38:29,30.3269,-81.62478,2.8304708540327805,188.6000061035156,186,ERISORT,IMO9681895,9V2067,1004,0,179.99000549316406,30.030000686645508,10.699999809265137,,
565324000,2016-07-24T18:22:30,30.32587,-81.6244,4.859740880307364,17.5,10,ERISORT,IMO9681895,9V2067,1004,0,179.99000549316406,30.030000686645508,10.699999809265137,,
565324000,2016-07-24T18:23:40,30.32758,-81.6239,5.709661746820847,11.0,8,ERISORT,IMO9681895,9V2067,1004,0,179.99000549316406,30.030000686645508,10.699999809265137,,
338860000,2016-11-08T12:55:17,30.32746,-81.62446,2.5180819022146776,195.1000061035156,190,SEATTLE,IMO9161168,WDG2490,1004,0,153.1999969482422,23.600000381469727,9.699999809265137,,
338860000,2016-11-08T12:56:25,30.32668,-81.62462,2.5180819022146776,188.1999969482422,188,SEATTLE,IMO9161168,WDG2490,1004,0,153.1999969482422,23.600000381469727,9.699999809265137,,
