MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1193046,2016-02-19T17:10:31,34.01803,-118.43143,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-19T17:18:53,32.69493,-117.23455,2.3776408682607357,334.29998779296875,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T00:33:03,32.69824,-117.23692,2.9645726172165845,270.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T00:34:13,33.98124,-118.4025,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T00:35:22,33.98124,-118.4025,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T00:53:24,32.69923,-117.23793,0.1206404846471674,216.5,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T00:59:53,32.69921,-117.23795,0.0571976479687774,244.3999938964844,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T01:07:23,33.98124,-118.4025,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T01:08:31,33.98124,-118.4025,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T01:33:52,32.70226,-117.2296,10.515872674201594,32.79999923706055,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T01:34:53,32.70476,-117.2277,10.515872674201594,29.100000381469727,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
1193046,2016-02-20T01:52:51,33.98124,-118.4025,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,
211367460,2018-03-28T02:54:04,33.75912,-118.25833,36.30912044374519,39.0,39,YANTIAN EXPRESS,IMO9229831,DPCK,70,5,320.0,42.0,14.5,79.0,A
211367460,2018-03-28T03:00:07,33.75911,-118.18499,36.30912044374519,39.0,39,YANTIAN EXPRESS,IMO9229831,DPCK,70,5,320.0,42.0,14.5,79.0,A
211367460,2018-03-28T03:00:07,33.75911,-118.18499,36.30912044374519,39.0,39,YANTIAN EXPRESS,IMO9229831,DPCK,70,5,320.0,42.0,14.5,79.0,A
211367460,2018-03-28T03:03:06,33.75911,-118.25832,0.0098743855329837,39.0,39,YANTIAN EXPRESS,IMO9229831,DPCK,70,5,320.0,42.0,14.5,79.0,A
368926267,2021-08-21T12:39:17,43.90375,-69.81113,0.0086047864325607,327.20001220703125,172,US WAR SHIP 1001____,,NMAM,35,5,182.0,25.0,8.0,59.0,A
368926267,2021-08-21T12:42:09,32.2535,-125.38333,5.932002147094527,353.6000061035156,511,US WAR SHIP 1001____,,NMAM,35,0,182.0,25.0,8.0,59.0,A
338158000,2021-12-23T11:12:58,33.77502,-118.21435,10.714861713313825,56.400001525878906,244,WEST VIRGINIA,IMO9704805,KSKW,80,5,183.0,,,80.0,A
338158000,2021-12-23T11:31:40,33.73329,-118.17013,10.714861713313825,307.8999938964844,332,WEST VIRGINIA,IMO9704805,KSKW,80,0,183.0,,,80.0,A
311000902,2022-01-20T23:37:31,33.73548,-118.15898,0.0780349892827211,338.1000061035156,251,APOLLO VOYAGER,IMO9878890,C6EI3,89,1,274.0,48.0,9.800000190734863,89.0,A
311000902,2022-01-20T23:59:45,33.90371,-118.45444,-96.21760326856644,208.8000030517578,247,APOLLO VOYAGER,IMO9878890,C6EI3,89,0,274.0,48.0,9.800000190734863,89.0,A
477170800,2022-01-21T23:12:48,33.72957,-118.15567,0.0269088883628897,64.0,238,SEA HOPE,IMO9439541,VRES2,80,1,243.0,42.0,15.300000190734863,80.0,A
477170800,2022-01-21T23:59:26,33.77247,-118.2208,1.796858020583991,28.600000381469727,235,SEA HOPE,IMO9439541,VRES2,80,5,243.0,42.0,15.300000190734863,80.0,A
477170800,2022-01-21T23:59:33,33.77247,-118.22082,1.935944412605132,28.600000381469727,235,SEA HOPE,IMO9439541,VRES2,80,5,243.0,42.0,15.300000190734863,80.0,A
477170800,2022-01-21T23:59:50,33.73048,-118.15755,34.42953995532731,64.0,179,SEA HOPE,IMO9439541,VRES2,80,1,243.0,42.0,15.300000190734863,80.0,A
235076276,2024-09-25T03:00:08,33.77156,-118.22186,4.506771478370528,37.900001525878906,232,EAGLE HATTERAS,IMO9453975,2CWB5,80,0,250.0,44.0,10.5,80.0,A
235076276,2024-09-25T03:51:08,33.73508,-118.15891,4.506771478370528,202.8000030517578,261,EAGLE HATTERAS,IMO9453975,2CWB5,80,0,250.0,44.0,10.5,80.0,A
235076276,2024-09-25T03:51:08,33.73508,-118.15891,4.506771478370528,202.8000030517578,261,EAGLE HATTERAS,IMO9453975,2CWB5,80,0,250.0,44.0,10.5,80.0,A
235076276,2024-09-25T04:01:06,33.77248,-118.22083,0.0199650867873102,7.800000190734863,237,EAGLE HATTERAS,IMO9453975,2CWB5,80,5,250.0,44.0,10.5,80.0,A
257811000,2024-10-19T04:59:32,33.77464,-118.21557,0.0097652853805473,23.700000762939453,66,MARI INNOVATOR,IMO9909572,LALK8,80,5,186.0,32.0,8.199999809265137,80.0,A
257811000,2024-10-19T12:01:02,33.73386,-118.17222,0.0487534667726594,336.29998779296875,52,MARI INNOVATOR,IMO9909572,LALK8,80,1,186.0,32.0,8.199999809265137,80.0,A
