Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,5.815771624413301e-06,6.426127239363121e-06,4.746553126135011e-06,1.7081731020654708e-07,9.756707167014048e-07,6.523807910169312e-07,1.1014672591284849e-07,3.064054622065159e-06,4.727415173833635e-06,8.681247398688592e-06,8.584571382102752e-06
175 - 200 m,0.00039663638509798043,0.00044086767321567435,0.00029771137173912303,0.0005946924821217872,3.193149680360881e-05,2.600641049201638e-06,3.6903881031382536e-06,0.0001475699209873555,0.00025610324068185,0.0005419034013064,0.000560556746016494
200 - 225 m,4.0747761002965865e-06,4.578859985560256e-06,2.8674405114817093e-06,5.974352722165527e-06,5.3901316364156863e-08,2.0165624579639028e-08,5.438896115311594e-06,1.0973830785718058e-06,2.1751068675769025e-06,5.305813871888223e-06,5.664858128661148e-06
225 - 250 m,1.2952104571288168e-05,1.4358299623648372e-05,8.87852883583389e-06,1.831271165745036e-05,1.63970308855506e-07,6.098869550335507e-08,1.6435572774015806e-05,3.3207232039836914e-06,6.594715118710797e-06,1.618766427456412e-05,1.7440852410683612e-05
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,2.0056622855533365e-07,2.1625733508701307e-07,1.3046097063881816e-07,2.63213573584669e-07,2.475656202753921e-09,8.559623822230203e-10,2.295052093149677e-07,4.6765625339776956e-08,9.293934991103516e-08,2.3047517904962032e-07,2.529431267240416e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
