Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15
150 - 175 m,8.019807487479105e-05,0.00012648830740521135,0.00012842849486406922,7.787486236981006e-05,3.681530429345248e-05,1.7660166463089712e-05,7.719687499953058e-06,3.010072783682514e-06,1.0072110029571377e-06,3.0025222606647296e-07,7.605877876421854e-08,1.6870900210908094e-08,3.341946961127129e-09,5.532572483655867e-10,8.22593615587279e-11
175 - 200 m,0.00036871676806893473,0.0005350071800404906,0.0005431834209575852,0.00036011405242283466,0.00019498664692318851,0.00010657679461536513,5.40200499686873e-05,2.4989956252264937e-05,1.0182893412139113e-05,3.779908232894177e-06,1.226587662861354e-06,3.563939933401895e-07,9.474649276452519e-08,2.1675316244718647e-08,4.545704591117377e-09
200 - 225 m,4.9937643075788915e-05,6.616176225807959e-05,6.724686926877854e-05,4.908981940536182e-05,3.079919862411821e-05,1.9375965182861616e-05,1.1523357473184254e-05,6.418774616411734e-06,3.23734689363685e-06,1.5248335738897619e-06,6.471267514137936e-07,2.517113941412723e-07,9.214402588299748e-08,2.991358232265223e-08,9.107341693341131e-09
225 - 250 m,5.868463901025232e-05,7.464592557752592e-05,7.594352038764144e-05,5.786031798224747e-05,3.876999871954422e-05,2.5958886365363716e-05,1.6574656994056856e-05,1.0031334071040731e-05,5.563455156317748e-06,2.914470727181334e-06,1.3940243451909888e-06,6.172919573402295e-07,2.607169928355498e-07,9.89048098143583e-08,3.5554459143943634e-08
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,2.8735817085636492e-06,3.328182775340463e-06,3.3802240410216575e-06,2.851003069780017e-06,2.2269644510384887e-06,1.7307538030910326e-06,1.3077879886962355e-06,9.599370532185978e-07,6.656604419139478e-07,4.4675437523773164e-07,2.828720932587601e-07,1.7022579734821933e-07,1.001901921090083e-07,5.485237208838382e-08,2.8227608345614318e-08
300 - 325 m,3.06496840879124e-07,3.496534236969151e-07,3.553165436782738e-07,3.044338051778638e-07,2.4365359758894154e-07,1.9374138642446416e-07,1.5026813276306984e-07,1.1373943960222076e-07,8.16825308293555e-08,5.7019747172002956e-08,3.7732515621832654e-08,2.3815802691806456e-08,1.477983975707902e-08,8.569618151241828e-09,4.699166933470366e-09
325 - 350 m,4.0040867126311143e-07,4.4717276042969204e-07,4.521636437519983e-07,3.980062279998913e-07,3.306262839336861e-07,2.737610268654546e-07,2.2191539485203802e-07,1.759196627805797e-07,1.3368215963737857e-07,9.908911786514298e-08,7.032546217433322e-08,4.806560765958423e-08,3.2274608737149034e-08,2.0544627566299418e-08,1.1004929222774634e-08
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
