Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15
150 - 175 m,5.419056574717475e-28,7.967282616815009e-26,9.994032694115583e-24,1.286786629187232e-21,9.305241105862091e-20,2.2314897914757594e-07,1.0360785273293436e-06,3.16528970529451e-06,8.903991649606833e-06,8.332343864317975e-05,3.7011053913570035e-05,1.986992892112429e-06,5.388566779207194e-07,1.196043310491035e-07,1.6165312457817602e-08
175 - 200 m,4.469961741623624e-22,2.2439214270749795e-20,9.977621691266045e-19,4.50034041226091e-17,1.2920384260816875e-15,6.681613483788192e-06,2.227080987861545e-05,5.3544091863181654e-05,0.00012065861793157831,0.0007068274881960609,0.00037382427232704994,3.720070862547077e-05,1.334030460180406e-05,4.091732456613457e-06,8.513658325480637e-07
200 - 225 m,1.2327966344420857e-18,2.5309144666340567e-17,4.772621575164857e-16,8.951318800790273e-15,1.1875286413381268e-13,3.702735375646872e-06,9.354751503123071e-06,1.8450529157205058e-05,3.461450492684564e-05,0.0001394295167188676,8.525415492736572e-05,1.3972031988278404e-05,6.3073008601381095e-06,2.529455562157118e-06,7.5423459764475e-07
225 - 250 m,1.386051830031735e-15,1.5711088774295308e-14,1.674189434950491e-13,1.754365563995141e-12,1.3944894872430391e-11,1.4579893117203993e-05,3.065049585480605e-05,5.298235789293747e-05,8.797395907925694e-05,0.0002752226801207993,0.0001853277689467961,4.246758305658235e-05,2.2351622215196067e-05,1.0714390366289364e-05,4.056895322928549e-06
250 - 275 m,3.9185660364811527e-13,2.7689335843547476e-12,1.8727108448393023e-11,1.2354526021304965e-10,6.535270321461308e-10,4.586283594739761e-05,8.330963056495005e-05,0.00012963939496652837,0.00019529726089359073,0.000498667647989254,0.0003625923993442311,0.00010869376904965009,6.465884770586623e-05,3.572625128677272e-05,1.635769732542894e-05
275 - 300 m,3.249155368749804e-11,1.6133708685007722e-10,7.772860472586259e-10,3.629318747718621e-09,1.416364702754873e-08,0.00013227462764397335,0.0002154404120636342,0.00030995246110984795,0.00043421915562976245,0.000952940228230181,0.000733799201003062,0.0002687616166236906,0.00017517453367319917,0.0001076189543417515,5.678491838615684e-05
300 - 325 m,1.6011199123060616e-10,6.658404504612769e-10,2.6946032940482597e-09,1.0612735136210963e-08,3.563374852470873e-08,0.00012104151390171297,0.00018680455804022394,0.00025812716310220896,0.00034834562293424966,0.0007005781567089114,0.0005552881900923488,0.00022735628195158278,0.000155398975954229,0.0001007654673621233,5.7062387841212607e-05
325 - 350 m,1.8008574421782012e-09,6.0239501134730216e-09,1.9759112448296384e-08,6.291965561554324e-08,1.7520019126018093e-07,0.00017152956080241266,0.0002475377104519855,0.00032582022653412506,0.0004203466577896686,0.0007680793413405429,0.0006307322427889443,0.00029291978484527676,0.000211895974546664,0.000146713333816911,9.067086082677396e-05
350 - 375 m,6.1299989059688135e-09,1.7231172361448112e-08,4.775336088931447e-08,1.2838799402848416e-07,3.0796745695728875e-07,0.00011162740465211093,0.00015270479637584665,0.00019330888952534588,0.00024054390171422577,0.00040628611047674945,0.0003432143754215444,0.00017661896089836665,0.00013372630781001345,9.758336964780868e-05,6.466353085565701e-05
375 - 400 m,4.4737288539843905e-10,1.0674257000115394e-09,2.5200837917403706e-09,5.784546913768791e-09,1.2067780913375337e-08,1.7165792089129967e-06,2.233692614909561e-06,2.7246794609002782e-06,3.275919516445328e-06,5.11546945037482e-06,4.438305628863785e-06,2.526429206529229e-06,1.998062450125051e-06,1.532402040215094e-06,1.0841525027382648e-06
Above 400 m,3.021605269265068e-11,7.014454909254641e-11,1.6273735255140032e-10,3.6065890421358115e-10,7.306530292387818e-10,8.834129642099617e-08,1.137337119453361e-07,1.3816744533774086e-07,1.6550691197982092e-07,2.619771827197659e-07,2.282807321918272e-07,1.2880909859070866e-07,1.0223327279988138e-07,7.893843799860002e-08,5.654865576327284e-08
