Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7
150 - 175 m,0.00024425058542700044,0.0002531513522052684,2.8590364995124957e-05,5.3647113242667015e-06,7.18792184969325e-07,6.282893509754004e-08,3.8440953686298885e-09
175 - 200 m,0.002748169075453313,0.0028211589479719464,0.0004714485612403594,0.0001224563734738196,2.431870991438191e-05,3.4259557138872633e-06,3.627358197201923e-07
200 - 225 m,0.0003850198976772871,0.00039140298917916165,9.14837252120157e-05,3.184960023437083e-05,9.036807020614492e-06,1.962673028202586e-06,3.420783986561849e-07
225 - 250 m,0.0008398532566041147,0.0008499956553575805,0.00023003056571341426,9.115282294712638e-05,3.02875243829766e-05,7.967229059565901e-06,1.731610635604103e-06
250 - 275 m,5.090393898883168e-05,5.1146545966211654e-05,1.7740068307513186e-05,8.73083389471164e-06,3.7774694060728114e-06,1.3688034995213446e-06,4.302033218184396e-07
275 - 300 m,4.4581322418330145e-05,4.46517077101471e-05,1.8453932195811826e-05,1.0400796138274801e-05,5.294953269407748e-06,2.33700894059536e-06,9.207742809828639e-07
300 - 325 m,5.997126271979602e-05,6.002522052474357e-05,2.6613242055331112e-05,1.575522257451527e-05,8.501543544098004e-06,4.026480433130755e-06,1.719337211176017e-06
325 - 350 m,9.406710091759559e-06,9.395164818216554e-06,4.725718244620383e-06,3.081146576313917e-06,1.8666217408531103e-06,1.0172603464554415e-06,5.101531495495514e-07
350 - 375 m,7.711188663580048e-07,7.690211322946509e-07,4.1763608543545976e-07,2.892772074345391e-07,1.8849398609877412e-07,1.1221205669414628e-07,6.227729740495691e-08
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
