Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,8.118998367225589e-06,1.3608940001798392e-05,1.696323617998389e-05,7.17809518032718e-06,2.7423226543356603e-06,7.403551755259249e-07
175 - 200 m,0.00012085941842658941,0.0001631380189293718,0.00021565752037846199,0.0001106982271591645,5.1427132257277945e-05,1.7910798842630547e-05
200 - 225 m,5.8568743550022896e-06,7.000194772616809e-06,9.500654446172816e-06,5.471722191469808e-06,2.8589847830068402e-06,1.164278752361991e-06
225 - 250 m,1.3611129296765615e-05,1.427161312605952e-05,1.9735615932855304e-05,1.3039415058485518e-05,7.933443757984306e-06,3.949684608309656e-06
250 - 275 m,2.2862393307243325e-07,1.6827560312712343e-07,2.77326099944924e-07,2.287335183181439e-07,1.617425619929055e-07,9.805627119999797e-08
275 - 300 m,1.767335154892924e-07,1.558406086684564e-07,2.1869424689804805e-07,1.7510912998418966e-07,1.3194823877835454e-07,8.719993903409499e-08
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,1.0531358850567999e-06,4.0655996720142914e-07,9.622397484545815e-07,1.1164625152112603e-06,9.105409362907797e-07,6.661955006351559e-07
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
