Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,8.97386729472352e-05,0.00010649580014217539,6.380927313336187e-05
175 - 200 m,0.0005467738433182749,0.0006268864478308023,0.0004170489217924695
200 - 225 m,5.9961281757775345e-05,6.65022279350133e-05,4.936408362598114e-05
225 - 250 m,3.748759501943224e-05,4.113777134732309e-05,3.1452124274573064e-05
250 - 275 m,8.391907156320497e-07,9.048732925046467e-07,7.338909283068831e-07
275 - 300 m,7.584740570904325e-07,8.050848288361621e-07,6.796264022672095e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
