Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,9.101387491293183e-05,0.0001064973883156088,6.522759787590944e-05
175 - 200 m,0.00055613758596046,0.0006305482329932808,0.0004268087097864532
200 - 225 m,6.130864053149463e-05,6.744892097268293e-05,5.07036331282204e-05
225 - 250 m,3.734184619467328e-05,4.068081185951986e-05,3.145800881503596e-05
250 - 275 m,8.426934451740991e-07,9.036258352763187e-07,7.392302119551782e-07
275 - 300 m,7.610638056605765e-07,8.041764525169333e-07,6.836700265042253e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
