Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,1.0761063831739208e-06,2.5095615616359226e-06,3.2884002043385744e-06,3.960837147693083e-06,6.004911998129365e-06,5.894600276318152e-06
175 - 200 m,3.069215987759541e-06,6.8512043874713e-06,8.50980398882198e-06,9.870114497176031e-06,1.3983705234210138e-05,1.3774877232230625e-05
200 - 225 m,0.0,0.0,0.0,0.0,0.0,0.0
225 - 250 m,0.0,0.0,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
