Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00013558468374791471,4.885465464501187e-06,4.773751019405703e-06
175 - 200 m,0.0012880869618914369,3.8169408895024515e-05,3.738842554021444e-05
200 - 225 m,0.00012509800575652332,3.186217358982223e-06,3.122651966570364e-06
225 - 250 m,0.00046967860029644717,1.6087662091375917e-05,1.580001353273247e-05
250 - 275 m,0.0002892512123785152,1.0453182426470698e-05,1.0297759178777404e-05
275 - 300 m,1.2428289400106708e-05,6.418482794393759e-07,6.324027467918646e-07
300 - 325 m,3.1906806905294374e-07,2.215063858480436e-08,2.1783854239494938e-08
325 - 350 m,6.760609493068213e-07,1.244551567413961e-07,1.2296549505714197e-07
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
