Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,7.037121437828338e-06,0.00026292389471081274,0.00014866659049487128
175 - 200 m,5.5070458415380484e-05,0.002353180477198312,0.001389700369563028
200 - 225 m,6.13187095139634e-06,0.00022420782771105129,0.00013236902088692762
225 - 250 m,4.077482445085801e-05,0.0007929435924001045,0.00048115294364029887
250 - 275 m,4.115358547034853e-05,0.00045034340631620987,0.0002921643024172382
275 - 300 m,2.7921767520975304e-06,2.1468291791879943e-05,1.3543881678902347e-05
300 - 325 m,7.01864929791063e-08,5.212582210577791e-07,3.147303602507722e-07
325 - 350 m,6.426626673676434e-07,1.7923595933203958e-06,9.350634564962119e-07
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
