Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9
150 - 175 m,9.266468339319545e-13,6.288511853780321e-11,2.5339212419743796e-09,6.246706685591797e-08,9.536201883546882e-07,9.966299287813944e-06,0.0003026551038324751,0.0001933647807029897,3.918625780886775e-06
175 - 200 m,4.334017562435122e-10,1.0613802959137165e-08,1.7461193836298894e-07,1.9815647285097755e-06,1.5616221843444172e-05,9.29928124440489e-05,0.0012544206307798181,0.0008898355250166739,4.574106424345723e-05
200 - 225 m,4.249117066361663e-09,5.2550137110054526e-08,4.7261469624355404e-07,3.1830246124432458e-06,1.6049672786931474e-05,6.591901271766067e-05,0.0005224968761230272,0.00039637062728352715,3.760657823006099e-05
225 - 250 m,5.815741357891069e-08,4.3547816716138095e-07,2.5245304427133697e-06,1.161592462257339e-05,4.237474791526305e-05,0.00013152486734241794,0.0006938598795894032,0.0005552600400779977,8.387022745586764e-05
250 - 275 m,2.2770408140450727e-07,1.14526690339047e-06,4.675750258535169e-06,1.588479517740009e-05,4.4726133150140156e-05,0.00011158563455273806,0.0004298159515751872,0.00035810382666399086,7.762758327953075e-05
275 - 300 m,3.0851455374612427e-07,1.230249527620897e-06,4.078042182429101e-06,1.1584454931138763e-05,2.7940336598797544e-05,6.174045931466634e-05,0.00020071874252827857,0.0001706119929405071,4.509854001522137e-05
300 - 325 m,2.423101231116616e-07,8.356705517231302e-07,2.4480397367773647e-06,6.239376470848034e-06,1.3749657365146658e-05,2.786191090669304e-05,7.947451734871406e-05,6.883181570226259e-05,2.105715894839865e-05
325 - 350 m,6.014746527340575e-08,1.667011242902645e-07,4.0306274286868285e-07,8.699089313928087e-07,1.6639211940132176e-06,2.9869372512367557e-06,7.147323691059812e-06,6.333476159596344e-06,2.36897492856127e-06
350 - 375 m,6.277095019941136e-08,1.4784932587480237e-07,3.097682307711975e-07,5.905982819262437e-07,1.0162673854620303e-06,1.6680984826521548e-06,3.5076727302500664e-06,3.1604215922946775e-06,1.3710378544667996e-06
375 - 400 m,1.08842945454799e-08,2.2498815231091875e-08,4.2070525083839577e-08,7.265993114550695e-08,1.1498871615388517e-07,1.7531652067696113e-07,3.3078407871030825e-07,3.0240808299538536e-07,1.4837744787571495e-07
Above 400 m,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06
