Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17,Pier 18,Pier 19,Pier 20
150 - 175 m,9.708058413947732e-12,2.068567535905989e-11,7.618195142327836e-11,3.3086796085453344e-10,1.5951511648778268e-09,7.334318825775965e-09,3.455438183380642e-08,1.5604157764589845e-07,6.228154204711218e-07,2.2768511624257703e-06,6.904733878506176e-06,1.739812407724457e-05,3.687250193565686e-05,6.609536800264395e-05,9.325153596229053e-05,0.00013421533185046505,0.0001259486604682826,3.5750383658442074e-05,5.537521205758572e-06,1.5849639583887123e-06
175 - 200 m,4.304600451154388e-09,7.511626202616752e-09,1.9619266656191875e-08,5.783965538564758e-08,1.8379754178892452e-07,5.654347174938117e-07,1.7727724984319239e-06,5.371315068267284e-06,1.4881451004623056e-05,3.860007601009778e-05,8.72800345156254e-05,0.0001724078822419581,0.00029920585590643647,0.0004590556778401295,0.0005946637891444185,0.0007736592323874651,0.0007365158882088409,0.0002920101326491786,7.41329251829339e-05,2.9533747710984853e-05
200 - 225 m,8.611197921995234e-09,1.368374516102528e-08,3.0399521734748576e-08,7.470743495505181e-08,1.9568216577177845e-07,4.979887911090133e-07,1.286574969263269e-06,3.237623607100684e-06,7.555525018053221e-06,1.6707082635133715e-05,3.29510926313018e-05,5.802353064364547e-05,9.189852461694595e-05,0.000131384704300912,0.0001622243978108889,0.00020270417078401448,0.0001950516932646173,9.01872595397785e-05,2.8786879959429767e-05,1.338340775623994e-05
225 - 250 m,1.1792192722532556e-08,1.722912188124724e-08,3.30779805602941e-08,6.901707494870054e-08,1.5233953551532932e-07,3.2659355538083225e-07,7.074088421751179e-07,1.5091533586829767e-06,3.0179656020350334e-06,5.790747697231802e-06,1.0112607401106699e-05,1.6049735707683592e-05,2.3471410086887963e-05,3.157313067599772e-05,3.704273558088025e-05,4.495519513689234e-05,4.385773199362198e-05,2.3208260311897165e-05,9.07218243389823e-06,4.841614544490949e-06
250 - 275 m,1.629922722702647e-08,2.2040842895842458e-08,3.701017584775581e-08,6.642911804675571e-08,1.2505047010317794e-07,2.291098516415697e-07,4.226109988424354e-07,7.735724464331663e-07,1.3422349517880893e-06,2.257848280537672e-06,3.5225321177412073e-06,5.082966762168727e-06,6.896049529928303e-06,8.755550925801238e-06,9.854005683252892e-06,1.15857374177348e-05,1.1414769018354231e-05,6.854254034569974e-06,3.2355374379402654e-06,1.9615609044056594e-06
275 - 300 m,1.4241903869786325e-08,1.8471463298526266e-08,2.886860682886747e-08,4.778679690230079e-08,8.243967876491666e-08,1.3888663841342567e-07,2.353224273205768e-07,3.9624705838528907e-07,6.370439879086684e-07,9.973618144653497e-07,1.4633260949617596e-06,2.006941537605334e-06,2.6110105723805464e-06,3.208380798493703e-06,3.5490599832268666e-06,4.08360877178403e-06,4.033993743266142e-06,2.5982208133926925e-06,1.3601986589686801e-06,8.836680399613384e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,3.0083771329068233e-07,3.625013344263985e-07,4.2267278861287774e-07,5.028899616338263e-07,6.083981444233781e-07,7.276310999337787e-07,8.709274127239548e-07,1.044045152521201e-06,1.2296365455255756e-06,1.437320622830517e-06,1.6423223274839814e-06,1.8302939133700703e-06,2.0088422143482997e-06,2.162200497618443e-06,2.2218737580256763e-06,2.347755738830146e-06,2.347842327076713e-06,2.010499691283122e-06,1.6033284378635e-06,1.3805719418110238e-06
