Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17,Pier 18,Pier 19,Pier 20
150 - 175 m,8.606311285448472e-13,1.939085933237036e-12,7.891018466290793e-12,3.853401710538919e-11,2.1162460649629673e-10,1.1168743404597652e-09,6.12708670162937e-09,3.238019267644157e-08,1.5193723383860552e-07,6.572110209543136e-07,2.352080018230953e-06,6.991329184968311e-06,1.7321742454437762e-05,3.611045236476522e-05,5.951747541405516e-05,0.00010224762471220255,0.0001434056920686225,6.099930208178447e-05,1.3071002533153253e-05,4.4170659709005295e-06
175 - 200 m,7.896173404587243e-10,1.431551712326955e-09,4.003783760525685e-09,1.279443792514836e-08,4.448618462797576e-08,1.5056558691094643e-07,5.247223862501794e-07,1.7745975802775192e-06,5.507817343502193e-06,1.6087409387754278e-05,4.090954560716139e-05,9.090108502105013e-05,0.0001764364228402554,0.0003017847931286833,0.00043727702853086904,0.0006471716729214233,0.0008274278976538195,0.0004430741933519929,0.0001435932671462862,6.489164533478321e-05
200 - 225 m,2.161216064562268e-09,3.540984342429764e-09,8.310157112541536e-09,2.178807378642437e-08,6.135566753780781e-08,1.6863435191544664e-07,4.7454176504294304e-07,1.3053625955752336e-06,3.340462286721134e-06,8.136029105448049e-06,1.766080341462922e-05,3.424164349986602e-05,5.944682846466368e-05,9.293668824242028e-05,0.0001258499308071619,0.0001749331899625441,0.0002150329409756222,0.00012781563568496943,5.0093779534347015e-05,2.590420696502923e-05
225 - 250 m,3.5248700380271674e-09,5.2929086841908105e-09,1.0674650940022122e-08,2.359520434733519e-08,5.5480554029440327e-08,1.273504605664707e-07,2.975998743520686e-07,6.857411678715385e-07,1.485647871311869e-06,3.0965424882960074e-06,5.868046843448715e-06,1.0111597696056257e-05,1.596767964660951e-05,2.3135327696513304e-05,2.94127692739362e-05,3.889526126646274e-05,4.633137418198461e-05,3.0075461387557045e-05,1.3861168887797802e-05,8.047271410822942e-06
250 - 275 m,5.9415159452907614e-09,8.211365346635459e-09,1.4337033736799656e-08,2.6940126320832564e-08,5.335443139648956e-08,1.031858642712517e-07,2.0207952671149248e-07,3.9339919707539426e-07,7.274297002900754e-07,1.307276618295784e-06,2.176941971378917e-06,3.3531905571462185e-06,4.838119124590551e-06,6.519808062735445e-06,7.809039267214769e-06,9.844491685383798e-06,1.1378522319144894e-05,8.033364557324547e-06,4.320372213716776e-06,2.8003166351285885e-06
275 - 300 m,5.0962571784630804e-09,6.71505588077292e-09,1.079765886576133e-08,1.848580936525621e-08,3.3117832157281735e-08,5.8095464813179576e-08,1.0297949884166646e-07,1.8177358866388662e-07,3.0695756350797184e-07,5.061025032842296e-07,7.819005874590761e-07,1.1298347643114365e-06,1.5452044482264082e-06,1.9938742878278715e-06,2.321079291135411e-06,2.832399940801845e-06,3.208023834726016e-06,2.3822578818181174e-06,1.4029197145548986e-06,9.692180745146135e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,2.2984654958751173e-07,2.7835637865001843e-07,3.281067384192475e-07,3.954087584172649e-07,4.852588123786242e-07,5.892435303095246e-07,7.172694400147454e-07,8.75039537241649e-07,1.0494273128224722e-06,1.2501501258132843e-06,1.4555261800629426e-06,1.6529445696165507e-06,1.8470007301982376e-06,2.0229517525895847e-06,2.1164661252718703e-06,2.2831725745652944e-06,2.394215526682867e-06,2.1520108106665793e-06,1.7852371484470472e-06,1.568887622643519e-06
