Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10
150 - 175 m,1.294029878898863e-12,5.991036089687401e-11,1.9926726360255705e-09,4.0171779007548165e-08,3.5086638097729843e-06,9.553437503793789e-05,0.00023327213033240798,1.669556058877126e-05,2.572320350639399e-07,1.6111554006493112e-08
175 - 200 m,5.151038668938234e-10,9.648144407468744e-09,1.4044198239598488e-07,1.3921406927249488e-06,4.824322351997546e-05,0.0005346908765468864,0.0010596669309872074,0.00015958464723140483,5.7482572503139056e-06,6.928721008888736e-07
200 - 225 m,6.301295220592061e-09,6.197702466765533e-08,5.013315054820087e-07,2.9937575532090233e-06,5.764101851320699e-05,0.0003177635707508104,0.0005437311159086551,0.0001471947535947164,9.038091910406444e-06,1.738161176778319e-06
225 - 250 m,7.919231897042146e-08,4.984285805048335e-07,2.6809243826586183e-06,1.1288459437310375e-05,0.0001319605683783752,0.0004839943729207616,0.000746333578390852,0.0002811491045066777,2.7459056496578804e-05,7.288992259062972e-06
250 - 275 m,3.2070711108833656e-07,1.3632397900673362e-06,5.124194810640343e-06,1.5855776371551652e-05,0.0001246625438361692,0.0003085142202703155,0.00043458251286713714,0.0002265139708357943,3.188253507378686e-05,1.1243520065789843e-05
275 - 300 m,3.1799671338856636e-07,1.1102913729257585e-06,3.490511444892573e-06,9.235558309884673e-06,6.674185124150169e-05,0.0001229884030662107,0.00016597465053269867,0.0001120329932721244,1.6860479973302004e-05,6.867720884744628e-06
300 - 325 m,2.4076045042957116e-07,7.360095493367965e-07,2.0478203095001704e-06,4.890276690109612e-06,2.808974587116015e-05,4.9135190095760994e-05,6.417287980009559e-05,4.4640865173438235e-05,8.378527192349339e-06,3.7519467618747933e-06
325 - 350 m,6.261641222805208e-08,1.5687059176959693e-07,3.639050264446161e-07,7.434552003771098e-07,3.4540309115553104e-06,4.995923060898116e-06,6.230678866192102e-06,5.0609097291502985e-06,1.156637730635777e-06,5.981223061498667e-07
350 - 375 m,6.246401878503973e-08,1.350430769376433e-07,2.7383066861007574e-07,4.982966314386515e-07,1.997856130367592e-06,2.489263116188989e-06,3.00080106500892e-06,2.7562810229214128e-06,7.217207915684293e-07,4.152460582638451e-07
375 - 400 m,1.0837937032120112e-08,2.082165102392936e-08,3.789726804131721e-08,6.289165024216984e-08,2.1639914988611546e-07,2.4664269768713375e-07,2.891478888190511e-07,2.8441983409953075e-07,8.604497719961391e-08,5.390008671067203e-08
Above 400 m,1.2929066578686436e-06,1.3618548436174788e-06,1.4363395506575587e-06,1.476859202906665e-06,4.087082818163509e-06,1.8228690951103722e-06,1.8751189862490145e-06,4.200857292765717e-06,1.503787213568734e-06,1.4636093736124616e-06
