Ship Length,Pier 1,Pier 2
150 - 175 m,2.366512270490825e-05,2.48436220605904e-05
175 - 200 m,0.00029911492424058924,0.0003117502457729388
200 - 225 m,1.3759189875707598e-05,1.4286099693368054e-05
225 - 250 m,2.7114922251837346e-05,2.8039847403396226e-05
250 - 275 m,4.1738162584014833e-07,4.28182520199258e-07
275 - 300 m,3.004901609498279e-07,3.0905916507274364e-07
300 - 325 m,0.0,0.0
325 - 350 m,1.7936437153023365e-06,1.8271277853903038e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
