Ship Length,Pier 1,Pier 2
150 - 175 m,2.331071192835627e-05,2.4382573246964706e-05
175 - 200 m,0.0002969161853333114,0.0003085453325193517
200 - 225 m,1.2957352124895053e-05,1.3419453651695768e-05
225 - 250 m,2.714257023612354e-05,2.8013039550519517e-05
250 - 275 m,4.176921309343049e-07,4.278837655938335e-07
275 - 300 m,3.0067479299772103e-07,3.0888103482643167e-07
300 - 325 m,0.0,0.0
325 - 350 m,1.7945102902817121e-06,1.826299642337336e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
