Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,1.1735340876430659e-06,6.375113994856342e-06,2.500070442722411e-05,0.0003211586474037854,0.0003077076200568028,1.3478327730952538e-05,3.1470435600779937e-06,5.310634581642976e-07,6.479164694342183e-08,6.189846024887105e-09,4.3487879847753307e-10
175 - 200 m,3.261142408500228e-05,0.00011845387458420595,0.0003318268937262445,0.0023477191619868535,0.002356813185424423,0.00019483478591880672,6.448083500626471e-05,1.681689441289015e-05,3.417478766712313e-06,5.752524682642746e-07,7.632969890279761e-08
200 - 225 m,1.3127083926445956e-05,3.8876674370544906e-05,9.187195565943999e-05,0.0004970620095437005,0.0005100152782197657,5.65258991213383e-05,2.2416341624292365e-05,7.268470176533536e-06,1.9169160951327973e-06,4.2865280257022027e-07,7.859684442811082e-08
225 - 250 m,4.124849835790928e-05,0.00010073816618356488,0.00020266244338615832,0.0008474596022729445,0.0008883553388196033,0.00013044643958959546,6.121433165845473e-05,2.4437296245518832e-05,8.21554571128833e-06,2.4110326012399812e-06,5.990809446793911e-07
250 - 275 m,3.1782488589957773e-05,6.34150053895106e-05,0.0001077646575573363,0.0003406519541139485,0.0003651765311870902,7.248658727762534e-05,4.061473816142324e-05,2.015430630438836e-05,8.763140251900724e-06,3.4114822110289463e-06,1.168231845707738e-06
275 - 300 m,0.0001257233975292318,0.0002208275740099516,0.0003369620869775912,0.0008746400061497529,0.0009546200166835666,0.00023192778219276663,0.00014505199888388738,8.275494549574497e-05,4.231672175314098e-05,1.972429431128028e-05,8.267633042703136e-06
300 - 325 m,4.423492303115406e-05,7.330551592709753e-05,0.00010651377754764789,0.00025167753640600594,0.00027679159086704016,7.400013010546882e-05,4.8622008996483323e-05,2.952862527994453e-05,1.630505537761045e-05,8.247469566755929e-06,3.7876842197143624e-06
325 - 350 m,5.663469506242588e-05,8.63187430262089e-05,0.00011686859504110877,0.0002416150091418718,0.00026910843474396327,8.216400142937831e-05,5.798318789008133e-05,3.8602649854216806e-05,2.3718192339041082e-05,1.3505018607324308e-05,7.08406666263329e-06
350 - 375 m,2.78727341549451e-05,3.9747262696090505e-05,5.0902065470398615e-05,9.617573918337616e-05,0.00010796054155742499,3.631993623271928e-05,2.717698013576992e-05,1.944170077833082e-05,1.298345288746514e-05,8.121649808914165e-06,4.730490926578454e-06
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,2.4921098793916337e-07,2.526291575379353e-07,2.4344460317332823e-07,2.989304281433769e-07,3.47481155427671e-07,1.8898776721708864e-07,1.9147923858242762e-07,1.9719834521825585e-07,2.0277717283148834e-07,2.043380863421071e-07,2.0439911247012106e-07
