Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,3.850687219197281e-05,5.329221235555472e-06,4.5691365607732395e-07
175 - 200 m,0.0003841655090482385,8.427798146162202e-05,1.288324417149845e-05
200 - 225 m,4.656958876279506e-05,1.785646603647487e-05,7.034208258845635e-06
225 - 250 m,0.00012619889130359885,4.893063769121493e-05,1.5398882702691747e-05
250 - 275 m,1.2767910421307499e-05,5.67598339177764e-06,2.071359652339375e-06
275 - 300 m,1.9017292096229488e-06,9.375463820482369e-07,3.710976804724251e-07
300 - 325 m,9.463918344666595e-07,5.338427009759251e-07,2.578836749091378e-07
325 - 350 m,3.886968447049937e-06,2.4176962403322212e-06,1.32399347526385e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,8.150465054229921e-07,5.926173234176278e-07,3.9127591083899157e-07
