Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,5.4027541992203264e-05,0.00026869396016791937,0.0007546463188171524,0.0007624200534997184
175 - 200 m,0.0006436000041404547,0.0028250278697928154,0.007064740878702614,0.00742584890654625
200 - 225 m,0.00010172152465984379,0.00029532717940559776,0.0005650525360509711,0.0005663154366231813
225 - 250 m,0.0004817115497156644,0.001314670369985978,0.002424414805612622,0.002561322980063207
250 - 275 m,0.00010412122026558427,0.00023057999892402972,0.0003742026113972913,0.0003916899075822602
275 - 300 m,2.2481532538675894e-05,4.193891028219753e-05,6.085749964981405e-05,6.146635201978356e-05
300 - 325 m,5.192987147430695e-07,9.442644361067649e-07,1.3598807929741864e-06,1.4271327875033545e-06
325 - 350 m,5.559177854460084e-06,8.33008184984911e-06,1.043741714780371e-05,1.004047289129303e-05
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
