Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,3.5368151140853857e-06,6.458827440379538e-07,1.0394746069841464e-06,5.220053634146854e-06
175 - 200 m,0.00014058671516632078,1.022985488652146e-05,3.6498256775045944e-05,0.0002934407071315824
200 - 225 m,7.93862905744929e-07,1.1624814889379881e-05,1.734151552108949e-07,2.587784125985356e-06
225 - 250 m,2.3500638823106627e-06,3.450849043448652e-05,5.128445368988732e-07,7.68777237376082e-06
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,1.0496131672180128e-06,1.0501425551157911e-06,6.586936433291723e-07,1.7507869119811756e-07
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
