Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.5386024040917194e-05,0.0002266977564934154,7.720047270548725e-05,1.9034853192477943e-06
175 - 200 m,0.00019242679327335818,0.001756938629875531,0.0007562506560590029,3.733256170496581e-05
200 - 225 m,5.198198474962173e-05,0.000333873906767923,0.00017462299203903554,1.4616579467303755e-05
225 - 250 m,0.0001273999199008836,0.0006375612956240665,0.0003805684812433781,4.603616646623841e-05
250 - 275 m,0.0002749198484134993,0.00112206804704523,0.0007436042351746983,0.000121106692645823
275 - 300 m,0.0005929636347232474,0.002080695018201097,0.0014907760347488887,0.00030268501546228826
300 - 325 m,0.00045990669416172143,0.0014377782627616024,0.0010702871300428854,0.0002528801913554145
325 - 350 m,0.000543916319150047,0.0015326545646352223,0.0011970880941109294,0.0003276268511385294
350 - 375 m,0.0003032553095437736,0.0007800718553523975,0.0006330299147435983,0.0001964933085096297
375 - 400 m,4.300802395384158e-06,9.959573541228542e-06,8.373332035800231e-06,2.985002163470739e-06
Above 400 m,2.1315214531637308e-07,5.380643155096377e-07,4.56641111258759e-07,1.4964604197739217e-07
