Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.2049746659659398e-05,0.00020324062922482444,9.462710647431015e-05,2.679697195194931e-06
175 - 200 m,0.0001570918353125365,0.0015953380149483331,0.0008780368178537324,4.8260070044714836e-05
200 - 225 m,4.4837598334067626e-05,0.00031183565011425133,0.00019754455792233763,1.801978231774255e-05
225 - 250 m,0.00011280156177856862,0.0006027948333123437,0.000419408501750716,5.420316018048386e-05
250 - 275 m,0.00024750449642530446,0.0010652632600153293,0.0007987125990081645,0.0001371131547598842
275 - 300 m,0.0005457662960567294,0.001999357828804962,0.0015854166897209501,0.0003362383582830936
300 - 325 m,0.00042711419427862035,0.0013870550489278651,0.0011300218749276268,0.0002776078295645567
325 - 350 m,0.000510410427269202,0.00148553601312758,0.0012525272247728323,0.00035424335060423305
350 - 375 m,0.00028872102485310577,0.0007634709122917781,0.000661469924980596,0.0002111753845728146
375 - 400 m,3.857305380072533e-06,9.143508293979132e-06,8.122556519271169e-06,2.9644227425631686e-06
Above 400 m,2.0421962752436362e-07,5.272698083342164e-07,4.7196907866335475e-07,1.5821619656157783e-07
