Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00034526786621341454,0.00029963281445991415,1.8965055688751888e-05
175 - 200 m,0.003731165406997198,0.003415149623076763,0.00034090933849827306
200 - 225 m,0.0005033399035536943,0.00048699996209175983,7.100292053653718e-05
225 - 250 m,0.0010913929419341145,0.0010833779930827015,0.00018615146009020515
250 - 275 m,6.319382173785145e-05,6.538501829419813e-05,1.486452900664109e-05
275 - 300 m,5.465622428448638e-05,5.750742757145499e-05,1.6180868786963253e-05
300 - 325 m,7.173071890238995e-05,7.561598428209493e-05,2.3338097466514412e-05
325 - 350 m,1.1092980371987325e-05,1.181727777530235e-05,4.272841767068802e-06
350 - 375 m,9.005498862890892e-07,9.663175948176266e-07,3.829699651909067e-07
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
