Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,7.066504642962818e-05,0.00024923904269015887,0.00024091715681441223,5.142116846904458e-05
175 - 200 m,0.0005817576421606155,0.0016381436825760542,0.0015904074712400477,0.00044357116230642316
200 - 225 m,6.072734631530982e-05,0.0001311554229291203,0.00012787027395514666,4.861034305079233e-05
225 - 250 m,9.246101529116713e-05,0.00018217356230300393,0.00017787583350004213,7.528359704630332e-05
250 - 275 m,1.007068489817364e-06,1.7470406211583471e-06,1.7124057178703405e-06,8.493016792977322e-07
275 - 300 m,2.98742285931223e-06,4.56428251870077e-06,4.480772798130033e-06,2.5708723754836665e-06
300 - 325 m,3.2857769984580455e-07,4.820159880985746e-07,4.734449888875722e-07,2.846410769958217e-07
325 - 350 m,4.1269896933332314e-07,5.674265946955426e-07,5.593854893277773e-07,3.6794962495900384e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
