Ship Length,Pier 1,Pier 2
150 - 175 m,1.089965555437686e-05,6.671267445697486e-05
175 - 200 m,0.00014662464124004092,0.000579762496472721
200 - 225 m,1.9261375716494846e-05,5.9776902716475984e-05
225 - 250 m,2.3815225246786373e-05,5.9131638411143855e-05
250 - 275 m,1.829953171300243e-06,3.668869616116145e-06
275 - 300 m,5.871149111218906e-07,1.037890936491969e-06
300 - 325 m,2.3087795277689872e-07,3.9010956621410256e-07
325 - 350 m,1.5540544644451762e-06,2.4081326603498417e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
