Ship Length,Pier 1,Pier 2
150 - 175 m,9.462025007332256e-06,7.127578454139563e-05
175 - 200 m,0.00013132358097766014,0.0006080168014701117
200 - 225 m,1.669160756051633e-05,5.908934670518708e-05
225 - 250 m,2.1522024273990165e-05,5.940299013879193e-05
250 - 275 m,1.7322668684099741e-06,3.763522543190043e-06
275 - 300 m,5.611692060988545e-07,1.0599016847696402e-06
300 - 325 m,2.2147736268649057e-07,3.977119821058827e-07
325 - 350 m,1.5011140199416296e-06,2.4471993217157064e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
