Ship Length,Pier 1,Pier 2
150 - 175 m,0.001363896021384038,0.001245640273897217
175 - 200 m,0.008058102176958145,0.007464656906742105
200 - 225 m,0.00045510676538322375,0.0004236042344845175
225 - 250 m,0.000987064115009633,0.0009243058051926362
250 - 275 m,1.6051908491001465e-06,1.520062520563659e-06
275 - 300 m,3.348580822809078e-05,3.1680561059752946e-05
300 - 325 m,9.141121149241237e-07,8.662242046752353e-07
325 - 350 m,2.7439401760479723e-06,2.6318118716360645e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
