Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,1.7098163176250125e-05,2.5530834948605705e-05,2.5878021663395282e-05
175 - 200 m,0.00023260376235566932,0.00032565699852383465,0.0003290992095570965
200 - 225 m,1.0246374977998794e-05,1.3852942281576322e-05,1.3971566595448841e-05
225 - 250 m,2.1178900394188857e-05,2.7533286901183775e-05,2.769373344692572e-05
250 - 275 m,3.577499193650059e-07,4.3570327072856763e-07,4.3745758015182167e-07
275 - 300 m,2.5447026319209455e-07,3.135362804626982e-07,3.141369426980034e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,1.607541546348317e-06,1.8479089814543159e-06,1.852022912666669e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
