Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00019031529816997543,6.9688851619475615e-06,7.663744299424628e-06
175 - 200 m,0.0017516149183588532,5.276023656268526e-05,5.763870279320525e-05
200 - 225 m,0.00016877454055919613,4.376889490766327e-06,4.776469907016871e-06
225 - 250 m,0.000616837262163796,2.1467200687723048e-05,2.3268221540777214e-05
250 - 275 m,0.0003646617057775826,1.3356084678457623e-05,1.4326018431297927e-05
275 - 300 m,1.5648703593673083e-05,8.179283183040583e-07,8.766036998058707e-07
300 - 325 m,4.1227134401363927e-07,2.8983384547709303e-08,3.1258172199728175e-08
325 - 350 m,8.20290417106596e-07,1.5212498997747248e-07,1.6129901511647857e-07
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
