Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,8.151448148504723e-06,0.00033879114619664996,0.0001881979527516446
175 - 200 m,6.291264819802261e-05,0.0029915687508706695,0.001718297589748044
200 - 225 m,6.9830042639130115e-06,0.00028388326069772184,0.000162719012581597
225 - 250 m,4.5836649622542784e-05,0.0009921877008222313,0.0005800651352677075
250 - 275 m,4.539091632539299e-05,0.0005523778137064548,0.0003419561799703296
275 - 300 m,3.0747784979871674e-06,2.6297207761640227e-05,1.5823737649647315e-05
300 - 325 m,7.822677638867696e-08,6.472337858469755e-07,3.7496741021626054e-07
325 - 350 m,6.958926898859709e-07,2.151172676582553e-06,1.064713611005937e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
