Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.3923778497264108e-06,2.7148088843667247e-05,4.333995727159588e-05,2.9822014862218296e-06
175 - 200 m,5.717627081402042e-05,0.0005111007958778779,0.0007151554706440744,9.604162279998304e-05
200 - 225 m,9.12350897784013e-06,6.282346587560576e-05,8.415258663731716e-05,1.4135777444424005e-05
225 - 250 m,9.72688156021602e-06,3.943056611115409e-05,4.842539048353936e-05,1.2824341400335088e-05
250 - 275 m,7.605798835186114e-08,2.619490830917965e-07,3.097709036547424e-07,9.298947982245859e-08
275 - 300 m,7.746424764689306e-08,2.0538195021740187e-07,2.3547639560139677e-07,8.996386144913429e-08
300 - 325 m,1.0103464338794267e-07,2.4394623985442154e-07,2.731332369359703e-07,1.1186302703204079e-07
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
