Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.0774846657058243e-05,0.0006162473149944177,0.0004274246007562535,4.367445942371552e-06
175 - 200 m,9.936446379238183e-05,0.002375409817365939,0.0018109441304500155,5.0144292169706316e-05
200 - 225 m,7.040788566417755e-05,0.0009881841730532588,0.0008044202005805901,4.119847219012448e-05
225 - 250 m,0.00013905954521246938,0.001224154972702095,0.0010427188907502327,9.058542993569681e-05
250 - 275 m,0.00011762773790162517,0.0007425826747882367,0.000656713372239682,8.349287947393303e-05
275 - 300 m,6.551938890178447e-05,0.000364080015092866,0.0003300833230464103,4.895579964990768e-05
300 - 325 m,2.925170786139802e-05,0.00013324754940885177,0.00012205902233708012,2.252015720521042e-05
325 - 350 m,3.1255951410078294e-06,1.1680485252839972e-05,1.0915805945127652e-05,2.5219478810934763e-06
350 - 375 m,1.7428739825204756e-06,5.664154056704944e-06,5.374706970547254e-06,1.4564688473094443e-06
375 - 400 m,1.8244343833712852e-07,5.167216941272231e-07,4.957411974823643e-07,1.5675053493834567e-07
Above 400 m,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06,4.586805100899137e-06
