Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.2260128940055415e-05,4.08697362205861e-05,4.076916068596039e-05,1.0488457255839756e-05
175 - 200 m,0.0003086253917461435,0.0008256383019306899,0.0008220830186630688,0.0002689196744537504
200 - 225 m,4.920090205332308e-05,0.00011368697376918709,0.00011288056382342818,4.2615958676818504e-05
225 - 250 m,0.00013628078411914685,0.00027949904288023463,0.0002770684301807192,0.00011831917905461048
250 - 275 m,0.00015825967426403195,0.00029897645943755956,0.0002959957708760708,0.00013735765034598914
275 - 300 m,0.0004885123370891805,0.0008601253789594473,0.0008510355502018835,0.0004260470880025219
300 - 325 m,0.0001448215569231225,0.00024206450864671107,0.00023969743504109416,0.000128301543820874
325 - 350 m,2.3956659268460345e-05,3.807704169960685e-05,3.76956055497603e-05,2.1325552055822344e-05
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
