Ship Length,Pier 1,Pier 2
150 - 175 m,9.766977602933745e-09,1.0436566456235462e-05
175 - 200 m,7.577724322358003e-07,0.00016965277986633742
200 - 225 m,9.67136193137276e-07,5.300776862329573e-05
225 - 250 m,8.060344024430248e-06,0.0001882232816956076
250 - 275 m,2.0296284144451444e-05,0.00022055473144918925
275 - 300 m,6.640787869150636e-05,0.00044237781805763003
300 - 325 m,3.2255832472288486e-05,0.0001634843740926059
325 - 350 m,0.00010223868323229139,0.0003605003070955732
350 - 375 m,5.1589182557681046e-05,0.00013514709403622725
375 - 400 m,8.316291407476576e-07,1.6926076277493664e-06
Above 400 m,8.489141566918103e-08,1.7040111012078186e-07
