Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0,0.0,0.0,0.0
175 - 200 m,9.071695688722797e-06,1.567412016783838e-05,1.2903508587654538e-05,1.070869788347025e-05
200 - 225 m,1.4078832004911088e-06,2.389626568476547e-06,2.0072308103320032e-06,1.6873366476067824e-06
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
