Ship Length,Pier 1,Pier 2
150 - 175 m,0.00011574301287399564,0.00023544116941262043
175 - 200 m,0.0010337139574454696,0.0024785633642163928
200 - 225 m,7.557260609988755e-05,0.00017078807867864398
225 - 250 m,0.00059421553036271,0.0018792012252343364
250 - 275 m,7.527637906898539e-05,0.0002948226471615495
275 - 300 m,2.083703313230614e-05,4.565985778135776e-05
300 - 325 m,9.415420546317515e-08,2.9942844194075633e-07
325 - 350 m,4.967093142294016e-07,2.5965014773899636e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
