Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,7.4721504514808235e-06,2.7892640971881003e-05,8.611140344942653e-05,0.0003963398952460011,0.0003615406043232061
175 - 200 m,0.00019859927190132317,0.0005572328128397783,0.0013481699666571495,0.004489368416593167,0.004179542035408869
200 - 225 m,3.7277123204771535e-05,8.20583726407402e-05,0.00016151305462928453,0.0004122536532504329,0.00039072908548242206
225 - 250 m,0.00026089337310075065,0.0005041546036089231,0.0008877354285088441,0.0019518209716619598,0.0018670332729402873
250 - 275 m,6.658044404144748e-05,0.0001119387679932236,0.0001749187637988595,0.0003263375942111349,0.0003151560213372955
275 - 300 m,1.172202768302201e-05,1.8173787145030628e-05,2.6508153629763825e-05,4.526204078786816e-05,4.3973758453756506e-05
300 - 325 m,3.944330452653926e-07,5.81927635188233e-07,8.141215182996078e-07,1.323995835997149e-06,1.2914814863636012e-06
325 - 350 m,3.57872065539519e-06,4.894240379512887e-06,6.41499421424331e-06,9.524859906552698e-06,9.338479226963111e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,1.4412536178842016e-07,1.7763428411184322e-07,2.1318528652197055e-07,2.8347219329417353e-07,2.8013084153494407e-07
