Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,2.6292356758384948e-05,3.548086626686512e-05,3.430036974193905e-05,2.0905052973337255e-05
175 - 200 m,3.476648883998757e-05,4.5910793784990306e-05,4.457267216225127e-05,2.822798130782181e-05
200 - 225 m,0.0,0.0,0.0,0.0
225 - 250 m,3.565586426822529e-07,4.4796656162498434e-07,4.389843473138883e-07,3.034673894675475e-07
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,3.942196348856403e-06,4.721718630503774e-06,4.654751151121881e-06,3.4910856130824973e-06
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
