Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,2.5508956337591895e-05,3.475462608473524e-05,3.507238957311346e-05,2.1686520176391356e-05
175 - 200 m,3.462644087074209e-05,4.6101203778035785e-05,4.64136821248058e-05,2.9750857947348607e-05
200 - 225 m,0.0,0.0,0.0,0.0
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,3.279248146736671e-07,4.108445364647778e-07,4.110310135912445e-07,2.895471409831112e-07
275 - 300 m,4.328041294883921e-06,5.185116717007242e-06,5.1838398859734e-06,3.924312508341396e-06
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
