Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,8.04970754834103e-06,9.215044095895815e-06,4.35961327639191e-06,6.07961118426821e-06
175 - 200 m,7.106636516822567e-05,6.933920227657194e-05,2.965919237564701e-05,5.7015531504606124e-05
200 - 225 m,0.00018965665926047538,0.0001737302607256056,7.272660102841636e-05,0.00015640409921647197
225 - 250 m,0.0001909602674827449,0.00017214483133342676,7.449781173130666e-05,0.00015978874934521553
250 - 275 m,1.4004005365474134e-05,1.167101728343632e-05,4.390818687077009e-06,1.188425399842824e-05
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.00044195607099236885,0.00031977906749804146,8.430043529357628e-05,0.0003897423647449453
325 - 350 m,2.196184016800432e-06,1.5354141579010717e-06,3.555717059954197e-07,1.9929132156157627e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
