Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,6.978095622586845e-06,3.691637878996678e-06,5.4516611615141395e-06,6.47251044242263e-06
175 - 200 m,6.174410575771426e-05,2.4892451621956746e-05,4.14184412772536e-05,6.142959950036664e-05
200 - 225 m,0.000164305683946867,6.03415323534643e-05,0.00010423800796299234,0.00016810252239735175
225 - 250 m,0.00016446070078722426,6.068757420591731e-05,0.00010368137337275939,0.00017008986890718937
250 - 275 m,1.1969087314738986e-05,3.655987502593193e-06,6.923212935251277e-06,1.2691646253350566e-05
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0003715114695415937,7.30697917878457e-05,0.00018176061348150317,0.0004204375940457792
325 - 350 m,2.052744332614952e-06,3.526987492350702e-07,9.686664086298086e-07,2.409884124839838e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
