Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.0003212730655827918,0.0001663893214863045,6.9656487091238195e-06
175 - 200 m,0.003325725642378484,0.00195798078427891,0.00014758792105266921
200 - 225 m,0.00045232311214844876,0.0002979345566152629,3.688221619647612e-05
225 - 250 m,0.0009739047830601468,0.0006749762776591914,0.00010440415440103959
250 - 275 m,5.709740806296512e-05,4.308142286664582e-05,9.691124253678848e-06
275 - 300 m,4.673486489124935e-05,3.717302481527133e-05,1.0794505504035168e-05
300 - 325 m,6.544967460894889e-05,5.3093734295323013e-05,1.705984749836983e-05
325 - 350 m,1.0467607610851342e-05,8.822683789603564e-06,3.4103844135327694e-06
350 - 375 m,8.168139964117768e-07,7.047530781386619e-07,3.045372264759523e-07
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
