Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,2.1237790620950388e-06,2.6490519985349916e-05,0.00014614792888025175,5.6827672199488004e-05
175 - 200 m,3.0713232195737995e-05,0.00017151789056077987,0.0005374830260557965,0.00027756728567226015
200 - 225 m,4.677907436080536e-05,0.00018532077394510914,0.0004552941751049093,0.0002651119377568795
225 - 250 m,4.3056645951633913e-05,0.00015692611888840226,0.0003635501059566804,0.00021802124341334064
250 - 275 m,8.748473398454383e-08,2.3469018639306673e-07,4.516640066637355e-07,3.0892697352434275e-07
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
