Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.2920978288636587e-05,6.268215318333426e-05,6.766474309609698e-05,2.870031676522109e-05
175 - 200 m,0.0005603319755293109,0.00211860366171144,0.0022639994254593588,0.0011263150645300845
200 - 225 m,1.8773358474032743e-05,6.646721121398551e-05,7.3224888946452e-05,4.1807315918822625e-05
225 - 250 m,0.00030043483834766763,0.0008271143488788893,0.0008828175127717265,0.0005686061519617894
250 - 275 m,0.00011809273746512413,0.0002896114011106666,0.0003047176855308233,0.00021042840435163103
275 - 300 m,7.181058877274905e-06,1.6650771431986123e-05,1.743808788854072e-05,1.2630803959980965e-05
300 - 325 m,2.1135487969672996e-07,5.096156860771548e-07,5.490930663491887e-07,4.036256503797026e-07
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
