Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8
150 - 175 m,6.390894938027521e-05,0.0003472426161475518,0.00019011792047896687,2.323561281864382e-05,1.3131882151123154e-05,5.2309164749427523e-05,2.179664008985937e-05,2.289170130610407e-06
175 - 200 m,0.0007404644318798144,0.0030097918932226473,0.0018685894693479892,0.0003372684835235619,7.528581203780536e-05,0.00023564249186513596,0.0001170550559995668,1.8696884724649443e-05
200 - 225 m,7.0442447722358e-05,0.00023281260132307173,0.00016058160348936956,3.9264594395639386e-05,5.642396335888067e-06,1.4753465067387867e-05,8.469093453860979e-06,1.8750624023906163e-06
225 - 250 m,0.0003107556250774756,0.000849444602222541,0.0006337755152833049,0.0001988790582258781,2.380255271262954e-05,5.3215090734085756e-05,3.412085516429434e-05,9.877391375046751e-06
250 - 275 m,0.00024226801315339576,0.0005461463546029633,0.0004355468698865607,0.00017259436631806159,3.341393065334229e-06,6.395658952379586e-06,4.515998997098824e-06,1.679440356717913e-06
275 - 300 m,1.290638584862086e-05,2.74655183984509e-05,2.2507258471876294e-05,9.673663646908461e-06,9.002618381976913e-10,7.341596121435145e-11,1.0684404561089878e-13,1.8145971392158345e-15
300 - 325 m,6.8216560702168875e-15,2.339879783205067e-13,4.5671049013729854e-11,3.0300297150769816e-10,2.926343383061433e-07,5.25305478571897e-07,3.994626601795897e-07,1.710268944234128e-07
325 - 350 m,9.671763984042918e-07,1.7491400080104496e-06,1.5174039143858323e-06,7.960042788584226e-07,9.429950744785921e-10,1.575098592294655e-10,1.3685879010072456e-12,6.900974791612669e-14
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
