Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.669510354884825e-08,1.5666305319970838e-07,1.8535525565289206e-06,2.2736374936996302e-06
175 - 200 m,1.123877624910139e-06,7.505941264383444e-06,6.031039640557252e-05,7.033115249911167e-05
200 - 225 m,1.05970723122844e-06,4.216978311517152e-06,1.7413729100109365e-05,1.6961487673098826e-05
225 - 250 m,9.063936080114431e-06,3.2332692543825945e-05,0.00011540371474023918,0.00010750887688570717
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
