Ship Length,Pier 1,Pier 2
150 - 175 m,1.9783270687641915e-05,9.957441595389895e-06
175 - 200 m,0.00029941101049219985,0.00015109847874816097
200 - 225 m,2.72026105058686e-05,1.3586159320220411e-05
225 - 250 m,1.587139735710526e-05,7.956994514632294e-06
250 - 275 m,7.67193690693402e-06,3.835070249567645e-06
275 - 300 m,1.2591465279736724e-05,6.273634108634339e-06
300 - 325 m,1.0066749186788464e-06,5.01723477176918e-07
325 - 350 m,4.463717104586773e-07,2.2510419543492e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
