Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,4.764360947458439e-05,0.0004060391230855258,0.00035630169040669005
175 - 200 m,0.00044079995915794455,0.0023418683431405125,0.0021165224175253563
200 - 225 m,3.6590933245860284e-05,0.00013737145524217266,0.00012698795882129386
225 - 250 m,0.00016361402275706947,0.00046650401697180717,0.00043853604930133174
250 - 275 m,2.174173651790245e-05,5.219387369596916e-05,4.958153902604252e-05
275 - 300 m,7.125245297963109e-06,1.426756482622862e-05,1.3710255461421954e-05
300 - 325 m,8.296266955259997e-07,1.5512226630930246e-06,1.4976734067666681e-06
325 - 350 m,5.152115191313728e-06,8.535982090320158e-06,8.301754717602186e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,6.73656501617742e-07,9.43778564493817e-07,9.279220970564004e-07
