Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0005985278340134051,0.00047183494715944026,9.64028051960169e-07,1.378559647540479e-06
175 - 200 m,0.0027352272701109855,0.0023185865327775084,5.299690285643984e-06,1.0782359593640027e-05
200 - 225 m,0.0003103500497951644,0.000278265585925586,7.743924678140076e-07,1.7379703915424818e-06
225 - 250 m,0.00024348041807135097,0.00022703009136156548,7.471773260982425e-07,1.7608789416783517e-06
250 - 275 m,0.00034841020646905426,0.0003356704512504839,8.471835851877114e-07,3.0366018104658324e-06
275 - 300 m,0.0004550089015021864,0.00044931332502624443,1.2230519897434647e-06,4.6358706159805065e-06
300 - 325 m,5.294011434368462e-05,5.271592697811726e-05,6.890025183524717e-08,5.0074388768348e-07
325 - 350 m,5.87680346807767e-05,5.9532600549376374e-05,9.127266096989408e-08,4.62359868579356e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
