Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.2997963561742429e-05,3.131490047390229e-05,3.132649498457415e-05,2.0422772051254703e-05
175 - 200 m,0.00018660285172968655,0.0003839450492030622,0.0003840798148765876,0.0002669310297434011
200 - 225 m,9.094607828919241e-06,1.7032599065633884e-05,1.7038610015769033e-05,1.2245555538610188e-05
225 - 250 m,1.991137808326434e-05,3.313805459693545e-05,3.3150442682243516e-05,2.4696909993774482e-05
250 - 275 m,3.299358699158396e-07,4.811927733228436e-07,4.813391647866694e-07,3.8469797837667483e-07
275 - 300 m,2.476763641257879e-07,3.4947522637518755e-07,3.4961809297735314e-07,2.733704170891842e-07
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,1.5400047146668498e-06,1.9864466385136642e-06,1.986937076048789e-06,1.6896179420628094e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
