Ship Length,Pier 1,Pier 2
150 - 175 m,1.278529222877622e-06,9.383422520570077e-07
175 - 200 m,3.966311834314374e-05,3.129448847597332e-05
200 - 225 m,2.387239062648973e-05,1.985240040202002e-05
225 - 250 m,6.757238729964569e-05,5.8372894936815155e-05
250 - 275 m,0.00016772642748492987,0.0001502774543275962
275 - 300 m,0.00039961527645565354,0.0003669175019500999
300 - 325 m,0.0002487604601846523,0.00023079608257041173
325 - 350 m,0.000570351926337312,0.000536833968701014
350 - 375 m,0.0003186974627968059,0.00030334695428750754
375 - 400 m,3.0834426117491063e-06,2.9642949394773836e-06
Above 400 m,1.0947256653695271e-06,1.1120808806743327e-06
