Ship Length,Pier 1,Pier 2
150 - 175 m,4.027379819908621e-07,2.8660936046704055e-06
175 - 200 m,1.7506872620165682e-05,8.115217252597503e-05
200 - 225 m,1.203546371892914e-05,4.079490276089401e-05
225 - 250 m,5.705953965657025e-05,0.00015151792234849407
250 - 275 m,0.00012098687403190266,0.00026553240503611177
275 - 300 m,0.0002743118886476258,0.000522092503000108
300 - 325 m,0.00017831038316028417,0.0003169440191955343
325 - 350 m,0.0004301526436983001,0.0007033685731255166
350 - 375 m,0.00025084676013340066,0.00038300344204619666
375 - 400 m,2.199202478691467e-06,3.1490322479997945e-06
Above 400 m,1.0780596413045328e-06,1.1283938038245537e-06
