Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15
150 - 175 m,7.781907685461399e-05,0.00012365633313387735,0.000126850191826348,7.753514799358551e-05,3.6914769639519006e-05,1.7797560176338342e-05,7.81754446516122e-06,3.063317832362974e-06,1.030170961948002e-06,3.086538850321717e-07,7.85934263639285e-08,1.752348581771021e-08,3.4897158722948685e-09,5.808472338454646e-10,8.683077568542053e-11
175 - 200 m,0.0003668562785688345,0.0005356360705193574,0.000548441441389379,0.00036593416716200705,0.0001992489065084292,0.00010933319036305288,5.562396580455403e-05,2.5829805966051185e-05,1.0565074987839936e-05,3.936781027713696e-06,1.2824382546308622e-06,3.7403758610399914e-07,9.982870255056807e-08,2.2927368286688527e-08,4.827113120277466e-09
200 - 225 m,4.9882539036286846e-05,6.64861832195274e-05,6.800965593376193e-05,4.9827090077099685e-05,3.133373594042108e-05,1.973512497106677e-05,1.174573828361408e-05,6.545309828856912e-06,3.3013960184442023e-06,1.5545804650143209e-06,6.593452538991464e-07,2.562229631096145e-07,9.367374708961297e-08,3.0360234350644724e-08,9.225126331971744e-09
225 - 250 m,5.8577206770653366e-05,7.4812033947242e-05,7.653223093911216e-05,5.855588244927839e-05,3.9381545552749624e-05,2.6437733119791204e-05,1.692274769134591e-05,1.0268009086348702e-05,5.7093039705479654e-06,2.9985712865446932e-06,1.4380151651382382e-06,6.384310823738306e-07,2.7036306195304154e-07,1.0284034427492428e-07,3.7068656127402076e-08
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,2.8614853498570548e-06,3.3226470461273323e-06,3.3860895856873586e-06,2.8632851520313962e-06,2.241512813030283e-06,1.744768752905458e-06,1.3203146535884465e-06,9.70560179210901e-07,6.740190870942067e-07,4.5302847016485493e-07,2.87270632349208e-07,1.731254468983759e-07,1.0204778592190688e-07,5.5952383008012505e-08,2.883557641014492e-08
300 - 325 m,3.0533250337125885e-07,3.491286504410725e-07,3.5587280164419923e-07,3.0561687092015654e-07,2.4508931367175835e-07,1.9515632374276627e-07,1.5156617842300257e-07,1.1487448978791067e-07,8.260738639125553e-08,5.7741749174900225e-08,3.826148712547171e-08,2.418152285048214e-08,1.5026858032601323e-08,8.72452209566082e-09,4.790394092380242e-09
325 - 350 m,3.9914278498416493e-07,4.466143346656553e-07,4.5275248129886385e-07,3.9929258898350355e-07,3.3224629074531833e-07,2.754233811996717e-07,2.2350908053514982e-07,1.77379017466951e-07,1.3494025687522095e-07,1.0013188177218303e-07,7.114473514647508e-08,4.867890997947096e-08,3.272276066159254e-08,2.0853130480522165e-08,1.1181616034771552e-08
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
