Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15
150 - 175 m,2.2285729796680017e-14,6.782653200050619e-10,1.2954593142478276e-08,1.0848474286027916e-07,3.5857828874237605e-07,4.4631536425182497e-07,1.9760838791199922e-07,3.1366867968561475e-08,1.8121725998339054e-09,3.6975365933056284e-11,2.5718190377332917e-13,6.788356543552254e-16,8.666400930223972e-19,1.3322676295501879e-21,0.0
175 - 200 m,1.7933983022208398e-12,3.9023572258028095e-09,3.507864729916002e-08,1.7099416299801433e-07,4.1670888407390527e-07,4.906437589630117e-07,2.674048047538866e-07,6.787974823546384e-08,8.122584411487389e-09,4.4726138686934643e-10,1.1034662398490269e-11,1.3254507558180252e-13,9.243805720871025e-16,6.7992278474093834e-18,4.729550084903167e-20
200 - 225 m,1.3400330606273714e-10,3.42095428016587e-08,1.6654610706057485e-07,5.282022186977507e-07,1.0083282819469152e-06,1.1370747017248507e-06,7.322932164335688e-07,2.712235261430958e-07,5.854349963997763e-08,7.163311469409629e-09,4.86542905036913e-10,1.9855619928232926e-11,5.396734958917904e-13,1.5400848596414108e-14,4.165148226320525e-16
225 - 250 m,1.0498871153922135e-09,1.3098964654478194e-07,5.198473935365401e-07,1.4216400245988525e-06,2.497308081731397e-06,2.773284707353638e-06,1.8901137738994615e-06,7.955618257271116e-07,2.092777000194448e-07,3.3560797980629614e-08,3.2210288470126972e-09,1.9852435861755782e-10,8.578384453450383e-12,3.8708448579782837e-13,1.6647765832544793e-14
250 - 275 m,6.0125385379802145e-09,2.442140517462615e-07,7.032820669773416e-07,1.5309824813154193e-06,2.3640951126920645e-06,2.5650683649167084e-06,1.9089813474133335e-06,9.803454620864701e-07,3.5137344182359855e-07,8.58092754606441e-08,1.406449752273975e-08,1.6487440676073997e-09,1.4611450439105945e-10,1.3456876237993854e-11,1.1856582236013937e-12
275 - 300 m,2.6752764587002302e-08,5.077983239113873e-07,1.176592822561028e-06,2.195892398301177e-06,3.1078629771245954e-06,3.319829012140723e-06,2.6221564238375606e-06,1.540561096226152e-06,6.808812422544808e-07,2.2100223112843767e-07,5.200399199902561e-08,9.420733482539135e-09,1.3565916986224559e-09,2.0248712639947542e-10,2.8957998345902072e-11
300 - 325 m,2.6771295706997066e-08,4.0336071874450833e-07,8.751871037810804e-07,1.5518388800672541e-06,2.1356111712930703e-06,2.268468349344721e-06,1.826001450092962e-06,1.1194510996915774e-06,5.276874987255682e-07,1.8743050910576643e-07,4.9587066702572187e-08,1.0289806942713308e-08,1.7329282622480238e-09,3.0105248964940047e-10,5.042327433191219e-11
325 - 350 m,1.2967857036775604e-07,1.234966927046518e-06,2.350524255195742e-06,3.792520039950221e-06,4.949326229727636e-06,5.206380565003004e-06,4.345282515468419e-06,2.8908181152561395e-06,1.5466537555130542e-06,6.530236549384321e-07,2.154114960331497e-07,5.8190231797033755e-08,1.3174603817060593e-08,3.06785399626941e-09,6.907319152116287e-10
350 - 375 m,7.893479261613044e-08,5.209916944616406e-07,8.929955981536542e-07,1.3373433363756627e-06,1.6732877462674476e-06,1.7468780018255383e-06,1.5004677052077576e-06,1.0652474217341768e-06,6.305267563556416e-07,3.054294569788052e-07,1.2000085916823666e-07,3.9993047383892753e-08,1.1449344557115105e-08,3.3660173335081646e-09,9.579066013665206e-10
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
