Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,7.924778346877994e-06,1.0752822625807147e-05,1.4060263878693638e-05,1.798234014489395e-05,2.3377424592692135e-05,2.2562352303121363e-05
175 - 200 m,0.00012320555902173156,0.00015766691969410054,0.0001959191519304741,0.00023972790058247013,0.00029719165218335586,0.00028902895377858577
200 - 225 m,6.26764214113428e-06,7.736122300390508e-06,9.317666322628782e-06,1.1110292889175292e-05,1.3392604678312894e-05,1.3090853422010134e-05
225 - 250 m,1.4395042317685914e-05,1.695123157572284e-05,1.9609713220316243e-05,2.2649337293037128e-05,2.636499675873719e-05,2.5952719670081224e-05
250 - 275 m,2.31587082619743e-07,2.915308185837645e-07,3.242508130776129e-07,3.60522980219375e-07,4.03170935916037e-07,3.9869851542103965e-07
275 - 300 m,1.9109239414822553e-07,2.105961720156899e-07,2.301907884983998e-07,2.5433956419765635e-07,2.81981623928292e-07,2.8037046244126816e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,1.0396872218561844e-06,1.401557697716059e-06,1.5021377991937035e-06,1.6132370391561072e-06,1.7388203812505514e-06,1.7276220848559215e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
