Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,7.044890251183797e-06,9.702873898984376e-06,1.2883057853890168e-05,1.6724857244389367e-05,2.227197559400407e-05,2.2935283446491765e-05
175 - 200 m,0.00011305469394995814,0.00014642621370457293,0.00018420594498976347,0.00022811829717413987,0.0002883313609717459,0.00029551027603135925
200 - 225 m,5.503182206245409e-06,6.8610158738322085e-06,8.34938698160217e-06,1.0057087551811254e-05,1.2323517978701659e-05,1.2598170449593796e-05
225 - 250 m,1.28978974218882e-05,1.5310239709879554e-05,1.785724809918521e-05,2.0791232938613227e-05,2.4516903749292742e-05,2.4992424740536203e-05
250 - 275 m,2.2272072738544315e-07,2.8190102870471704e-07,3.15416783185842e-07,3.527512813904096e-07,3.9820957060798394e-07,4.039688181363084e-07
275 - 300 m,1.8497391390754014e-07,2.0483497840094047e-07,2.2499951958546935e-07,2.4980323124134096e-07,2.791127945418316e-07,2.8342774944206764e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,1.014026976589781e-06,1.3713137653043298e-06,1.4754303316594602e-06,1.5905649034160392e-06,1.7248929247910171e-06,1.7424201486973451e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
