Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,1.0585634372479707e-06,2.47447848340019e-06,3.25164206925862e-06,3.927733092378065e-06,5.975408397015656e-06,5.925459475621454e-06
175 - 200 m,2.9101512802683476e-06,6.507777527432405e-06,8.10228582735658e-06,9.419017163905265e-06,1.3388294593709986e-05,1.329529506570057e-05
200 - 225 m,0.0,0.0,0.0,0.0,0.0,0.0
225 - 250 m,0.0,0.0,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
