Ship Length,Pier 1,Pier 2
150 - 175 m,4.0842461281621434e-05,4.123995463787605e-05
175 - 200 m,0.0005832349083278841,0.0005882339221794532
200 - 225 m,5.6309005003647574e-05,5.6812266076895635e-05
225 - 250 m,7.501214588879766e-05,7.577407688891961e-05
250 - 275 m,3.776659737372523e-07,3.810498987787213e-07
275 - 300 m,2.961274853185691e-07,2.996493570468539e-07
300 - 325 m,0.0,0.0
325 - 350 m,0.0,0.0
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,8.304772703434748e-08,8.576919406680517e-08
